date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,5,25,25,25,24,0,28,0.0,1014,25,10,121,12,Arkansas
2022-09-01 03:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,5,24,24,23,22,5,31,0.0,1014,23,10,120,10,Arkansas
2022-09-01 06:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,7,24,24,22,21,17,37,0.0,1013,22,10,108,10,Arkansas
2022-09-01 09:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,13,26,26,26,14,34,43,0.0,1015,26,10,107,10,Arkansas
2022-09-01 12:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,14,34,34,34,9,18,30,0.0,1014,34,10,176,8,Arkansas
2022-09-01 15:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,13,37,37,38,14,46,23,0.0,1011,38,10,208,13,Arkansas
2022-09-01 18:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,13,37,37,37,15,24,23,0.0,1009,37,10,210,13,Arkansas
2022-09-01 21:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,12,29,29,30,22,3,33,0.0,1009,30,10,183,10,Arkansas
2022-09-02 00:00:00,37,19,0.0,11.6,6,42,01:28 PM,11:30 PM,07:00 AM,07:55 PM,19,21,24,21,37,84,86,0.1,1012,21,10,168,22,Arkansas
2022-09-02 03:00:00,37,19,0.0,11.6,6,42,01:28 PM,11:30 PM,07:00 AM,07:55 PM,19,20,20,20,30,76,96,0.0,1013,20,10,164,19,Arkansas
2022-09-02 06:00:00,37,19,0.0,11.6,6,42,01:28 PM,11:30 PM,07:00 AM,07:55 PM,19,19,19,19,27,98,98,0.0,1012,19,10,182,17,Arkansas
2022-09-02 09:00:00,37,19,0.0,11.6,6,42,01:28 PM,11:30 PM,07:00 AM,07:55 PM,19,25,25,22,20,59,85,0.0,1013,22,10,176,18,Arkansas
2022-09-02 12:00:00,37,19,0.0,11.6,6,42,01:28 PM,11:30 PM,07:00 AM,07:55 PM,21,37,37,33,22,9,49,0.0,1012,33,10,184,19,Arkansas
2022-09-02 15:00:00,37,19,0.0,11.6,6,42,01:28 PM,11:30 PM,07:00 AM,07:55 PM,18,38,38,36,19,16,34,0.0,1009,36,10,194,16,Arkansas
2022-09-02 18:00:00,37,19,0.0,11.6,6,42,01:28 PM,11:30 PM,07:00 AM,07:55 PM,17,38,38,37,15,9,31,0.0,1008,37,10,193,13,Arkansas
2022-09-02 21:00:00,37,19,0.0,11.6,6,42,01:28 PM,11:30 PM,07:00 AM,07:55 PM,17,28,28,28,12,27,53,0.0,1010,28,10,139,6,Arkansas
2022-09-03 00:00:00,33,19,0.0,11.6,6,49,02:39 PM,No moonset,07:01 AM,07:54 PM,18,20,20,20,23,73,83,0.3,1013,20,10,336,11,Arkansas
2022-09-03 03:00:00,33,19,0.0,11.6,6,49,02:39 PM,No moonset,07:01 AM,07:54 PM,18,20,20,20,31,15,86,0.0,1014,20,10,355,15,Arkansas
2022-09-03 06:00:00,33,19,0.0,11.6,6,49,02:39 PM,No moonset,07:01 AM,07:54 PM,17,19,19,19,23,20,88,0.0,1015,19,10,351,12,Arkansas
2022-09-03 09:00:00,33,19,0.0,11.6,6,49,02:39 PM,No moonset,07:01 AM,07:54 PM,18,25,25,22,22,16,75,0.0,1017,22,10,24,17,Arkansas
2022-09-03 12:00:00,33,19,0.0,11.6,6,49,02:39 PM,No moonset,07:01 AM,07:54 PM,19,32,32,30,16,17,53,0.0,1017,30,10,64,14,Arkansas
2022-09-03 15:00:00,33,19,0.0,11.6,6,49,02:39 PM,No moonset,07:01 AM,07:54 PM,18,34,34,33,13,39,42,0.0,1016,33,9,67,11,Arkansas
2022-09-03 18:00:00,33,19,0.0,11.6,6,49,02:39 PM,No moonset,07:01 AM,07:54 PM,17,34,34,33,17,22,38,0.0,1014,33,10,32,14,Arkansas
2022-09-03 21:00:00,33,19,0.0,11.6,6,49,02:39 PM,No moonset,07:01 AM,07:54 PM,17,27,27,26,30,82,57,0.2,1015,26,10,43,14,Arkansas
2022-09-04 00:00:00,35,20,0.0,11.6,6,56,03:49 PM,12:15 AM,07:01 AM,07:52 PM,18,22,25,22,24,70,77,0.3,1017,22,9,325,12,Arkansas
2022-09-04 03:00:00,35,20,0.0,11.6,6,56,03:49 PM,12:15 AM,07:01 AM,07:52 PM,17,21,24,21,22,20,76,0.0,1016,21,10,324,10,Arkansas
2022-09-04 06:00:00,35,20,0.0,11.6,6,56,03:49 PM,12:15 AM,07:01 AM,07:52 PM,17,20,20,20,22,9,80,0.0,1016,20,10,319,10,Arkansas
2022-09-04 09:00:00,35,20,0.0,11.6,6,56,03:49 PM,12:15 AM,07:01 AM,07:52 PM,17,26,26,25,9,12,61,0.0,1017,25,10,18,7,Arkansas
2022-09-04 12:00:00,35,20,0.0,11.6,6,56,03:49 PM,12:15 AM,07:01 AM,07:52 PM,16,32,32,32,9,24,38,0.0,1016,32,10,82,8,Arkansas
2022-09-04 15:00:00,35,20,0.0,11.6,6,56,03:49 PM,12:15 AM,07:01 AM,07:52 PM,14,35,35,35,14,52,29,0.0,1013,35,10,103,13,Arkansas
2022-09-04 18:00:00,35,20,0.0,11.6,6,56,03:49 PM,12:15 AM,07:01 AM,07:52 PM,14,32,32,32,22,16,33,0.0,1012,32,10,183,18,Arkansas
2022-09-04 21:00:00,35,20,0.0,11.6,6,56,03:49 PM,12:15 AM,07:01 AM,07:52 PM,16,27,27,26,26,20,56,0.0,1013,26,10,214,12,Arkansas
2022-09-05 00:00:00,36,20,0.0,11.6,8,62,04:53 PM,01:10 AM,07:02 AM,07:51 PM,15,25,25,23,33,18,60,0.0,1013,23,10,142,16,Arkansas
2022-09-05 03:00:00,36,20,0.0,11.6,8,62,04:53 PM,01:10 AM,07:02 AM,07:51 PM,17,21,21,21,21,29,81,0.0,1012,21,10,157,10,Arkansas
2022-09-05 06:00:00,36,20,0.0,11.6,8,62,04:53 PM,01:10 AM,07:02 AM,07:51 PM,17,20,20,20,20,37,83,0.0,1012,20,10,100,9,Arkansas
